symptoms,diagnoses 
"fever,cough,sore,throat,nausea,vomiting,diarrhea","flu,covid"
"chill,cough,sore,throat,nausea,vomiting,diarrhea","flu,covid"
"fever,chill,cough,sore,throat,nausea,vomiting,diarrhea","flu,covid"
"runny,nausea,vomiting,diarrhea",flu
"fever,runny,nausea,vomiting,diarrhea",flu
"chill,runny,nausea,vomiting,diarrhea",flu
"fever,chill,runny,nausea,vomiting,diarrhea",flu
"cough,runny,nausea,vomiting,diarrhea",flu
"fever,cough,runny,nausea,vomiting,diarrhea",flu
"chill,cough,runny,nausea,vomiting,diarrhea",flu
"fever,chill,cough,runny,nausea,vomiting,diarrhea",flu
"sore,runny,nausea,vomiting,diarrhea",flu
"fever,sore,runny,nausea,vomiting,diarrhea",flu
"chill,sore,runny,nausea,vomiting,diarrhea",flu
"fever,chill,sore,runny,nausea,vomiting,diarrhea",flu
"cough,sore,runny,nausea,vomiting,diarrhea",flu
"fever,cough,sore,runny,nausea,vomiting,diarrhea",flu
"chill,cough,sore,runny,nausea,vomiting,diarrhea",flu
"fever,chill,cough,sore,runny,nausea,vomiting,diarrhea",flu
"throat,runny,nausea,vomiting,diarrhea",flu
"fever,throat,runny,nausea,vomiting,diarrhea",flu
"chill,throat,runny,nausea,vomiting,diarrhea",flu
"fever,chill,throat,runny,nausea,vomiting,diarrhea",flu
"cough,throat,runny,nausea,vomiting,diarrhea",flu
"fever,cough,throat,runny,nausea,vomiting,diarrhea",flu
"chill,cough,throat,runny,nausea,vomiting,diarrhea",flu
"fever,chill,cough,throat,runny,nausea,vomiting,diarrhea",flu
"sore,throat,runny,nausea,vomiting,diarrhea",flu
"fever,sore,throat,runny,nausea,vomiting,diarrhea",flu
"chill,sore,throat,runny,nausea,vomiting,diarrhea",flu
"fever,chill,sore,throat,runny,nausea,vomiting,diarrhea",flu
"cough,sore,throat,runny,nausea,vomiting,diarrhea",flu
"fever,cough,sore,throat,runny,nausea,vomiting,diarrhea",flu
"chill,cough,sore,throat,runny,nausea,vomiting,diarrhea",flu
"fever,chill,cough,sore,throat,runny,nausea,vomiting,diarrhea",flu
"nose,nausea,vomiting,diarrhea",flu
"fever,nose,nausea,vomiting,diarrhea",flu
"chill,nose,nausea,vomiting,diarrhea",flu
"fever,chill,nose,nausea,vomiting,diarrhea",flu
"cough,nose,nausea,vomiting,diarrhea",flu
"fever,cough,nose,nausea,vomiting,diarrhea",flu
"chill,cough,nose,nausea,vomiting,diarrhea",flu
"fever,chill,cough,nose,nausea,vomiting,diarrhea",flu
"sore,nose,nausea,vomiting,diarrhea",flu
"fever,sore,nose,nausea,vomiting,diarrhea",flu
"chill,sore,nose,nausea,vomiting,diarrhea",flu
"fever,chill,sore,nose,nausea,vomiting,diarrhea",flu
"cough,sore,nose,nausea,vomiting,diarrhea",flu
"fever,cough,sore,nose,nausea,vomiting,diarrhea",flu
"chill,cough,sore,nose,nausea,vomiting,diarrhea",flu
"fever,chill,cough,sore,nose,nausea,vomiting,diarrhea",flu
"throat,nose,nausea,vomiting,diarrhea",flu
"fever,throat,nose,nausea,vomiting,diarrhea",flu
"chill,throat,nose,nausea,vomiting,diarrhea",flu
"fever,chill,throat,nose,nausea,vomiting,diarrhea",flu
"cough,throat,nose,nausea,vomiting,diarrhea",flu
"fever,cough,throat,nose,nausea,vomiting,diarrhea",flu
"chill,cough,throat,nose,nausea,vomiting,diarrhea",flu
"fever,chill,cough,throat,nose,nausea,vomiting,diarrhea",flu
"sore,throat,nose,nausea,vomiting,diarrhea",flu
"fever,sore,throat,nose,nausea,vomiting,diarrhea",flu
"chill,sore,throat,nose,nausea,vomiting,diarrhea",flu
"fever,chill,sore,throat,nose,nausea,vomiting,diarrhea",flu
"cough,sore,throat,nose,nausea,vomiting,diarrhea",flu
"fever,cough,sore,throat,nose,nausea,vomiting,diarrhea",flu
"chill,cough,sore,throat,nose,nausea,vomiting,diarrhea",flu
"fever,chill,cough,sore,throat,nose,nausea,vomiting,diarrhea",flu
"runny,nose,nausea,vomiting,diarrhea",flu
"fever,runny,nose,nausea,vomiting,diarrhea",flu
"chill,runny,nose,nausea,vomiting,diarrhea",flu
"fever,chill,runny,nose,nausea,vomiting,diarrhea",flu
"cough,runny,nose,nausea,vomiting,diarrhea",flu
"fever,cough,runny,nose,nausea,vomiting,diarrhea",flu
"chill,cough,runny,nose,nausea,vomiting,diarrhea",flu
"fever,chill,cough,runny,nose,nausea,vomiting,diarrhea",flu
"sore,runny,nose,nausea,vomiting,diarrhea",flu
"fever,sore,runny,nose,nausea,vomiting,diarrhea",flu
"chill,sore,runny,nose,nausea,vomiting,diarrhea",flu
"fever,chill,sore,runny,nose,nausea,vomiting,diarrhea",flu
"cough,sore,runny,nose,nausea,vomiting,diarrhea",flu
"fever,cough,sore,runny,nose,nausea,vomiting,diarrhea",flu
"chill,cough,sore,runny,nose,nausea,vomiting,diarrhea",flu
"fever,chill,cough,sore,runny,nose,nausea,vomiting,diarrhea",flu
"throat,runny,nose,nausea,vomiting,diarrhea",flu
"fever,throat,runny,nose,nausea,vomiting,diarrhea",flu
"chill,throat,runny,nose,nausea,vomiting,diarrhea",flu
"fever,chill,throat,runny,nose,nausea,vomiting,diarrhea",flu
"cough,throat,runny,nose,nausea,vomiting,diarrhea",flu
"fever,cough,throat,runny,nose,nausea,vomiting,diarrhea",flu
"chill,cough,throat,runny,nose,nausea,vomiting,diarrhea",flu
"fever,chill,cough,throat,runny,nose,nausea,vomiting,diarrhea",flu
"sore,throat,runny,nose,nausea,vomiting,diarrhea",flu
"fever,sore,throat,runny,nose,nausea,vomiting,diarrhea",flu
"chill,sore,throat,runny,nose,nausea,vomiting,diarrhea",flu
"fever,chill,sore,throat,runny,nose,nausea,vomiting,diarrhea",flu
"cough,sore,throat,runny,nose,nausea,vomiting,diarrhea",flu
"fever,cough,sore,throat,runny,nose,nausea,vomiting,diarrhea",flu
"chill,cough,sore,throat,runny,nose,nausea,vomiting,diarrhea",flu
"fever,chill,cough,sore,throat,runny,nose,nausea,vomiting,diarrhea",flu
"stuffy,nausea,vomiting,diarrhea",flu
"fever,stuffy,nausea,vomiting,diarrhea",flu
"chill,stuffy,nausea,vomiting,diarrhea",flu
"fever,chill,stuffy,nausea,vomiting,diarrhea",flu
"cough,stuffy,nausea,vomiting,diarrhea",flu
"fever,cough,stuffy,nausea,vomiting,diarrhea",flu
"chill,cough,stuffy,nausea,vomiting,diarrhea",flu
"fever,chill,cough,stuffy,nausea,vomiting,diarrhea",flu
"sore,stuffy,nausea,vomiting,diarrhea",flu
"fever,sore,stuffy,nausea,vomiting,diarrhea",flu
"chill,sore,stuffy,nausea,vomiting,diarrhea",flu
"fever,chill,sore,stuffy,nausea,vomiting,diarrhea",flu
"cough,sore,stuffy,nausea,vomiting,diarrhea",flu
"fever,cough,sore,stuffy,nausea,vomiting,diarrhea",flu
"chill,cough,sore,stuffy,nausea,vomiting,diarrhea",flu
"fever,chill,cough,sore,stuffy,nausea,vomiting,diarrhea",flu
"throat,stuffy,nausea,vomiting,diarrhea",flu
"fever,throat,stuffy,nausea,vomiting,diarrhea",flu
"chill,throat,stuffy,nausea,vomiting,diarrhea",flu
"fever,chill,throat,stuffy,nausea,vomiting,diarrhea",flu
"cough,throat,stuffy,nausea,vomiting,diarrhea",flu
"fever,cough,throat,stuffy,nausea,vomiting,diarrhea",flu
"chill,cough,throat,stuffy,nausea,vomiting,diarrhea",flu
"fever,chill,cough,throat,stuffy,nausea,vomiting,diarrhea",flu
"sore,throat,stuffy,nausea,vomiting,diarrhea",flu
"fever,sore,throat,stuffy,nausea,vomiting,diarrhea",flu
"chill,sore,throat,stuffy,nausea,vomiting,diarrhea",flu
"fever,chill,sore,throat,stuffy,nausea,vomiting,diarrhea",flu
"cough,sore,throat,stuffy,nausea,vomiting,diarrhea",flu
"fever,cough,sore,throat,stuffy,nausea,vomiting,diarrhea",flu
"chill,cough,sore,throat,stuffy,nausea,vomiting,diarrhea",flu
"fever,chill,cough,sore,throat,stuffy,nausea,vomiting,diarrhea",flu
"runny,stuffy,nausea,vomiting,diarrhea",flu
"fever,runny,stuffy,nausea,vomiting,diarrhea",flu
"chill,runny,stuffy,nausea,vomiting,diarrhea",flu
"fever,chill,runny,stuffy,nausea,vomiting,diarrhea",flu
"cough,runny,stuffy,nausea,vomiting,diarrhea",flu
"fever,cough,runny,stuffy,nausea,vomiting,diarrhea",flu
"chill,cough,runny,stuffy,nausea,vomiting,diarrhea",flu
"fever,chill,cough,runny,stuffy,nausea,vomiting,diarrhea",flu
"sore,runny,stuffy,nausea,vomiting,diarrhea",flu
"fever,sore,runny,stuffy,nausea,vomiting,diarrhea",flu
"chill,sore,runny,stuffy,nausea,vomiting,diarrhea",flu
"fever,chill,sore,runny,stuffy,nausea,vomiting,diarrhea",flu
"cough,sore,runny,stuffy,nausea,vomiting,diarrhea",flu
"fever,cough,sore,runny,stuffy,nausea,vomiting,diarrhea",flu
"chill,cough,sore,runny,stuffy,nausea,vomiting,diarrhea",flu
"fever,chill,cough,sore,runny,stuffy,nausea,vomiting,diarrhea",flu
"throat,runny,stuffy,nausea,vomiting,diarrhea",flu
"fever,throat,runny,stuffy,nausea,vomiting,diarrhea",flu
"chill,throat,runny,stuffy,nausea,vomiting,diarrhea",flu
"fever,chill,throat,runny,stuffy,nausea,vomiting,diarrhea",flu
"cough,throat,runny,stuffy,nausea,vomiting,diarrhea",flu
"fever,cough,throat,runny,stuffy,nausea,vomiting,diarrhea",flu
"chill,cough,throat,runny,stuffy,nausea,vomiting,diarrhea",flu
"fever,chill,cough,throat,runny,stuffy,nausea,vomiting,diarrhea",flu
"sore,throat,runny,stuffy,nausea,vomiting,diarrhea",flu
"fever,sore,throat,runny,stuffy,nausea,vomiting,diarrhea",flu
"chill,sore,throat,runny,stuffy,nausea,vomiting,diarrhea",flu
"fever,chill,sore,throat,runny,stuffy,nausea,vomiting,diarrhea",flu
"cough,sore,throat,runny,stuffy,nausea,vomiting,diarrhea",flu
"fever,cough,sore,throat,runny,stuffy,nausea,vomiting,diarrhea",flu
"chill,cough,sore,throat,runny,stuffy,nausea,vomiting,diarrhea",flu
"fever,chill,cough,sore,throat,runny,stuffy,nausea,vomiting,diarrhea",flu
"nose,stuffy,nausea,vomiting,diarrhea",flu
"fever,nose,stuffy,nausea,vomiting,diarrhea",flu
"chill,nose,stuffy,nausea,vomiting,diarrhea",flu
"fever,chill,nose,stuffy,nausea,vomiting,diarrhea",flu
"cough,nose,stuffy,nausea,vomiting,diarrhea",flu
"fever,cough,nose,stuffy,nausea,vomiting,diarrhea",flu
"chill,cough,nose,stuffy,nausea,vomiting,diarrhea",flu
"fever,chill,cough,nose,stuffy,nausea,vomiting,diarrhea",flu
"sore,nose,stuffy,nausea,vomiting,diarrhea",flu
"fever,sore,nose,stuffy,nausea,vomiting,diarrhea",flu
"chill,sore,nose,stuffy,nausea,vomiting,diarrhea",flu
"fever,chill,sore,nose,stuffy,nausea,vomiting,diarrhea",flu
"cough,sore,nose,stuffy,nausea,vomiting,diarrhea",flu
"fever,cough,sore,nose,stuffy,nausea,vomiting,diarrhea",flu
"chill,cough,sore,nose,stuffy,nausea,vomiting,diarrhea",flu
"fever,chill,cough,sore,nose,stuffy,nausea,vomiting,diarrhea",flu
"throat,nose,stuffy,nausea,vomiting,diarrhea",flu
"fever,throat,nose,stuffy,nausea,vomiting,diarrhea",flu
"chill,throat,nose,stuffy,nausea,vomiting,diarrhea",flu
"fever,chill,throat,nose,stuffy,nausea,vomiting,diarrhea",flu
"cough,throat,nose,stuffy,nausea,vomiting,diarrhea",flu
"fever,cough,throat,nose,stuffy,nausea,vomiting,diarrhea",flu
"chill,cough,throat,nose,stuffy,nausea,vomiting,diarrhea",flu
"fever,chill,cough,throat,nose,stuffy,nausea,vomiting,diarrhea",flu
"sore,throat,nose,stuffy,nausea,vomiting,diarrhea",flu
"fever,sore,throat,nose,stuffy,nausea,vomiting,diarrhea",flu
"chill,sore,throat,nose,stuffy,nausea,vomiting,diarrhea",flu
"fever,chill,sore,throat,nose,stuffy,nausea,vomiting,diarrhea",flu
"cough,sore,throat,nose,stuffy,nausea,vomiting,diarrhea",flu
"fever,cough,sore,throat,nose,stuffy,nausea,vomiting,diarrhea",flu
"chill,cough,sore,throat,nose,stuffy,nausea,vomiting,diarrhea",flu
"fever,chill,cough,sore,throat,nose,stuffy,nausea,vomiting,diarrhea",flu
"runny,nose,stuffy,nausea,vomiting,diarrhea",flu
"fever,runny,nose,stuffy,nausea,vomiting,diarrhea",flu
"chill,runny,nose,stuffy,nausea,vomiting,diarrhea",flu
"fever,chill,runny,nose,stuffy,nausea,vomiting,diarrhea",flu
"cough,runny,nose,stuffy,nausea,vomiting,diarrhea",flu
"fever,cough,runny,nose,stuffy,nausea,vomiting,diarrhea",flu
"chill,cough,runny,nose,stuffy,nausea,vomiting,diarrhea",flu
"fever,chill,cough,runny,nose,stuffy,nausea,vomiting,diarrhea",flu
"sore,runny,nose,stuffy,nausea,vomiting,diarrhea",flu
"fever,sore,runny,nose,stuffy,nausea,vomiting,diarrhea",flu
"chill,sore,runny,nose,stuffy,nausea,vomiting,diarrhea",flu
"fever,chill,sore,runny,nose,stuffy,nausea,vomiting,diarrhea",flu
"cough,sore,runny,nose,stuffy,nausea,vomiting,diarrhea",flu
"fever,cough,sore,runny,nose,stuffy,nausea,vomiting,diarrhea",flu
"chill,cough,sore,runny,nose,stuffy,nausea,vomiting,diarrhea",flu
"fever,chill,cough,sore,runny,nose,stuffy,nausea,vomiting,diarrhea",flu
"throat,runny,nose,stuffy,nausea,vomiting,diarrhea",flu
"fever,throat,runny,nose,stuffy,nausea,vomiting,diarrhea",flu
"chill,throat,runny,nose,stuffy,nausea,vomiting,diarrhea",flu
"fever,chill,throat,runny,nose,stuffy,nausea,vomiting,diarrhea",flu
"cough,throat,runny,nose,stuffy,nausea,vomiting,diarrhea",flu
"fever,cough,throat,runny,nose,stuffy,nausea,vomiting,diarrhea",flu
"chill,cough,throat,runny,nose,stuffy,nausea,vomiting,diarrhea",flu
"fever,chill,cough,throat,runny,nose,stuffy,nausea,vomiting,diarrhea",flu
"sore,throat,runny,nose,stuffy,nausea,vomiting,diarrhea",flu
"fever,sore,throat,runny,nose,stuffy,nausea,vomiting,diarrhea",flu
"chill,sore,throat,runny,nose,stuffy,nausea,vomiting,diarrhea",flu
"fever,chill,sore,throat,runny,nose,stuffy,nausea,vomiting,diarrhea",flu
"cough,sore,throat,runny,nose,stuffy,nausea,vomiting,diarrhea",flu
"fever,cough,sore,throat,runny,nose,stuffy,nausea,vomiting,diarrhea",flu
"chill,cough,sore,throat,runny,nose,stuffy,nausea,vomiting,diarrhea",flu
"fever,chill,cough,sore,throat,runny,nose,stuffy,nausea,vomiting,diarrhea",flu
"ache,nausea,vomiting,diarrhea","flu,covid"
"fever,ache,nausea,vomiting,diarrhea","flu,covid"
"chill,ache,nausea,vomiting,diarrhea","flu,covid"
"fever,chill,ache,nausea,vomiting,diarrhea","flu,covid"
"cough,ache,nausea,vomiting,diarrhea","flu,covid"
"fever,cough,ache,nausea,vomiting,diarrhea","flu,covid"
"chill,cough,ache,nausea,vomiting,diarrhea","flu,covid"
"fever,chill,cough,ache,nausea,vomiting,diarrhea","flu,covid"
"sore,ache,nausea,vomiting,diarrhea","flu,covid"
"fever,sore,ache,nausea,vomiting,diarrhea","flu,covid"
"chill,sore,ache,nausea,vomiting,diarrhea","flu,covid"
"fever,chill,sore,ache,nausea,vomiting,diarrhea","flu,covid"
"cough,sore,ache,nausea,vomiting,diarrhea","flu,covid"
"fever,cough,sore,ache,nausea,vomiting,diarrhea","flu,covid"
"chill,cough,sore,ache,nausea,vomiting,diarrhea","flu,covid"
"fever,chill,cough,sore,ache,nausea,vomiting,diarrhea","flu,covid"
"throat,ache,nausea,vomiting,diarrhea","flu,covid"
"fever,throat,ache,nausea,vomiting,diarrhea","flu,covid"
"chill,throat,ache,nausea,vomiting,diarrhea","flu,covid"
"fever,chill,throat,ache,nausea,vomiting,diarrhea","flu,covid"
"cough,throat,ache,nausea,vomiting,diarrhea","flu,covid"
"fever,cough,throat,ache,nausea,vomiting,diarrhea","flu,covid"
"chill,cough,throat,ache,nausea,vomiting,diarrhea","flu,covid"
"fever,chill,cough,throat,ache,nausea,vomiting,diarrhea","flu,covid"
"sore,throat,ache,nausea,vomiting,diarrhea","flu,covid"
"fever,sore,throat,ache,nausea,vomiting,diarrhea","flu,covid"
"chill,sore,throat,ache,nausea,vomiting,diarrhea","flu,covid"
"fever,chill,sore,throat,ache,nausea,vomiting,diarrhea","flu,covid"
"cough,sore,throat,ache,nausea,vomiting,diarrhea","flu,covid"
"fever,cough,sore,throat,ache,nausea,vomiting,diarrhea","flu,covid"
"chill,cough,sore,throat,ache,nausea,vomiting,diarrhea","flu,covid"
"fever,chill,cough,sore,throat,ache,nausea,vomiting,diarrhea","flu,covid"
"runny,ache,nausea,vomiting,diarrhea",flu
"fever,runny,ache,nausea,vomiting,diarrhea",flu
"chill,runny,ache,nausea,vomiting,diarrhea",flu
"fever,chill,runny,ache,nausea,vomiting,diarrhea",flu
"cough,runny,ache,nausea,vomiting,diarrhea",flu
"fever,cough,runny,ache,nausea,vomiting,diarrhea",flu
"chill,cough,runny,ache,nausea,vomiting,diarrhea",flu
"fever,chill,cough,runny,ache,nausea,vomiting,diarrhea",flu
"sore,runny,ache,nausea,vomiting,diarrhea",flu
"fever,sore,runny,ache,nausea,vomiting,diarrhea",flu
"chill,sore,runny,ache,nausea,vomiting,diarrhea",flu
"fever,chill,sore,runny,ache,nausea,vomiting,diarrhea",flu
"cough,sore,runny,ache,nausea,vomiting,diarrhea",flu
"fever,cough,sore,runny,ache,nausea,vomiting,diarrhea",flu
"chill,cough,sore,runny,ache,nausea,vomiting,diarrhea",flu
"fever,chill,cough,sore,runny,ache,nausea,vomiting,diarrhea",flu
"throat,runny,ache,nausea,vomiting,diarrhea",flu
"fever,throat,runny,ache,nausea,vomiting,diarrhea",flu
"chill,throat,runny,ache,nausea,vomiting,diarrhea",flu
"fever,chill,throat,runny,ache,nausea,vomiting,diarrhea",flu
"cough,throat,runny,ache,nausea,vomiting,diarrhea",flu
"fever,cough,throat,runny,ache,nausea,vomiting,diarrhea",flu
"chill,cough,throat,runny,ache,nausea,vomiting,diarrhea",flu
"fever,chill,cough,throat,runny,ache,nausea,vomiting,diarrhea",flu
"sore,throat,runny,ache,nausea,vomiting,diarrhea",flu
"fever,sore,throat,runny,ache,nausea,vomiting,diarrhea",flu
"chill,sore,throat,runny,ache,nausea,vomiting,diarrhea",flu
"fever,chill,sore,throat,runny,ache,nausea,vomiting,diarrhea",flu
"cough,sore,throat,runny,ache,nausea,vomiting,diarrhea",flu
"fever,cough,sore,throat,runny,ache,nausea,vomiting,diarrhea",flu
"chill,cough,sore,throat,runny,ache,nausea,vomiting,diarrhea",flu
"fever,chill,cough,sore,throat,runny,ache,nausea,vomiting,diarrhea",flu
"nose,ache,nausea,vomiting,diarrhea",flu
"fever,nose,ache,nausea,vomiting,diarrhea",flu
"chill,nose,ache,nausea,vomiting,diarrhea",flu
"fever,chill,nose,ache,nausea,vomiting,diarrhea",flu
"cough,nose,ache,nausea,vomiting,diarrhea",flu
"fever,cough,nose,ache,nausea,vomiting,diarrhea",flu
"chill,cough,nose,ache,nausea,vomiting,diarrhea",flu
"fever,chill,cough,nose,ache,nausea,vomiting,diarrhea",flu
"sore,nose,ache,nausea,vomiting,diarrhea",flu
"fever,sore,nose,ache,nausea,vomiting,diarrhea",flu
"chill,sore,nose,ache,nausea,vomiting,diarrhea",flu
"fever,chill,sore,nose,ache,nausea,vomiting,diarrhea",flu
"cough,sore,nose,ache,nausea,vomiting,diarrhea",flu
"fever,cough,sore,nose,ache,nausea,vomiting,diarrhea",flu
"chill,cough,sore,nose,ache,nausea,vomiting,diarrhea",flu
"fever,chill,cough,sore,nose,ache,nausea,vomiting,diarrhea",flu
"throat,nose,ache,nausea,vomiting,diarrhea",flu
"fever,throat,nose,ache,nausea,vomiting,diarrhea",flu
"chill,throat,nose,ache,nausea,vomiting,diarrhea",flu
"fever,chill,throat,nose,ache,nausea,vomiting,diarrhea",flu
"cough,throat,nose,ache,nausea,vomiting,diarrhea",flu
"fever,cough,throat,nose,ache,nausea,vomiting,diarrhea",flu
"chill,cough,throat,nose,ache,nausea,vomiting,diarrhea",flu
"fever,chill,cough,throat,nose,ache,nausea,vomiting,diarrhea",flu
"sore,throat,nose,ache,nausea,vomiting,diarrhea",flu
"fever,sore,throat,nose,ache,nausea,vomiting,diarrhea",flu
"chill,sore,throat,nose,ache,nausea,vomiting,diarrhea",flu
"fever,chill,sore,throat,nose,ache,nausea,vomiting,diarrhea",flu
"cough,sore,throat,nose,ache,nausea,vomiting,diarrhea",flu
"fever,cough,sore,throat,nose,ache,nausea,vomiting,diarrhea",flu
"chill,cough,sore,throat,nose,ache,nausea,vomiting,diarrhea",flu
"fever,chill,cough,sore,throat,nose,ache,nausea,vomiting,diarrhea",flu
"runny,nose,ache,nausea,vomiting,diarrhea",flu
"fever,runny,nose,ache,nausea,vomiting,diarrhea",flu
"chill,runny,nose,ache,nausea,vomiting,diarrhea",flu
"fever,chill,runny,nose,ache,nausea,vomiting,diarrhea",flu
"cough,runny,nose,ache,nausea,vomiting,diarrhea",flu
"fever,cough,runny,nose,ache,nausea,vomiting,diarrhea",flu
"chill,cough,runny,nose,ache,nausea,vomiting,diarrhea",flu
"fever,chill,cough,runny,nose,ache,nausea,vomiting,diarrhea",flu
"sore,runny,nose,ache,nausea,vomiting,diarrhea",flu
"fever,sore,runny,nose,ache,nausea,vomiting,diarrhea",flu
"chill,sore,runny,nose,ache,nausea,vomiting,diarrhea",flu
"fever,chill,sore,runny,nose,ache,nausea,vomiting,diarrhea",flu
"cough,sore,runny,nose,ache,nausea,vomiting,diarrhea",flu
"fever,cough,sore,runny,nose,ache,nausea,vomiting,diarrhea",flu
"chill,cough,sore,runny,nose,ache,nausea,vomiting,diarrhea",flu
"fever,chill,cough,sore,runny,nose,ache,nausea,vomiting,diarrhea",flu
"throat,runny,nose,ache,nausea,vomiting,diarrhea",flu
"fever,throat,runny,nose,ache,nausea,vomiting,diarrhea",flu
"chill,throat,runny,nose,ache,nausea,vomiting,diarrhea",flu
"fever,chill,throat,runny,nose,ache,nausea,vomiting,diarrhea",flu
"cough,throat,runny,nose,ache,nausea,vomiting,diarrhea",flu
"fever,cough,throat,runny,nose,ache,nausea,vomiting,diarrhea",flu
"chill,cough,throat,runny,nose,ache,nausea,vomiting,diarrhea",flu
"fever,chill,cough,throat,runny,nose,ache,nausea,vomiting,diarrhea",flu
"sore,throat,runny,nose,ache,nausea,vomiting,diarrhea",flu
"fever,sore,throat,runny,nose,ache,nausea,vomiting,diarrhea",flu
"chill,sore,throat,runny,nose,ache,nausea,vomiting,diarrhea",flu
"fever,chill,sore,throat,runny,nose,ache,nausea,vomiting,diarrhea",flu
"cough,sore,throat,runny,nose,ache,nausea,vomiting,diarrhea",flu
"fever,cough,sore,throat,runny,nose,ache,nausea,vomiting,diarrhea",flu
"chill,cough,sore,throat,runny,nose,ache,nausea,vomiting,diarrhea",flu
"fever,chill,cough,sore,throat,runny,nose,ache,nausea,vomiting,diarrhea",flu
"stuffy,ache,nausea,vomiting,diarrhea",flu
"fever,stuffy,ache,nausea,vomiting,diarrhea",flu
"chill,stuffy,ache,nausea,vomiting,diarrhea",flu
"fever,chill,stuffy,ache,nausea,vomiting,diarrhea",flu
"cough,stuffy,ache,nausea,vomiting,diarrhea",flu
"fever,cough,stuffy,ache,nausea,vomiting,diarrhea",flu
"chill,cough,stuffy,ache,nausea,vomiting,diarrhea",flu
"fever,chill,cough,stuffy,ache,nausea,vomiting,diarrhea",flu
"sore,stuffy,ache,nausea,vomiting,diarrhea",flu
"fever,sore,stuffy,ache,nausea,vomiting,diarrhea",flu
"chill,sore,stuffy,ache,nausea,vomiting,diarrhea",flu
"fever,chill,sore,stuffy,ache,nausea,vomiting,diarrhea",flu
"cough,sore,stuffy,ache,nausea,vomiting,diarrhea",flu
"fever,cough,sore,stuffy,ache,nausea,vomiting,diarrhea",flu
"chill,cough,sore,stuffy,ache,nausea,vomiting,diarrhea",flu
"fever,chill,cough,sore,stuffy,ache,nausea,vomiting,diarrhea",flu
"throat,stuffy,ache,nausea,vomiting,diarrhea",flu
"fever,throat,stuffy,ache,nausea,vomiting,diarrhea",flu
"chill,throat,stuffy,ache,nausea,vomiting,diarrhea",flu
"fever,chill,throat,stuffy,ache,nausea,vomiting,diarrhea",flu
"cough,throat,stuffy,ache,nausea,vomiting,diarrhea",flu
"fever,cough,throat,stuffy,ache,nausea,vomiting,diarrhea",flu
"chill,cough,throat,stuffy,ache,nausea,vomiting,diarrhea",flu
"fever,chill,cough,throat,stuffy,ache,nausea,vomiting,diarrhea",flu
"sore,throat,stuffy,ache,nausea,vomiting,diarrhea",flu
"fever,sore,throat,stuffy,ache,nausea,vomiting,diarrhea",flu
"chill,sore,throat,stuffy,ache,nausea,vomiting,diarrhea",flu
"fever,chill,sore,throat,stuffy,ache,nausea,vomiting,diarrhea",flu
"cough,sore,throat,stuffy,ache,nausea,vomiting,diarrhea",flu
"fever,cough,sore,throat,stuffy,ache,nausea,vomiting,diarrhea",flu
"chill,cough,sore,throat,stuffy,ache,nausea,vomiting,diarrhea",flu
"fever,chill,cough,sore,throat,stuffy,ache,nausea,vomiting,diarrhea",flu
"runny,stuffy,ache,nausea,vomiting,diarrhea",flu
"fever,runny,stuffy,ache,nausea,vomiting,diarrhea",flu
"chill,runny,stuffy,ache,nausea,vomiting,diarrhea",flu
"fever,chill,runny,stuffy,ache,nausea,vomiting,diarrhea",flu
"cough,runny,stuffy,ache,nausea,vomiting,diarrhea",flu
"fever,cough,runny,stuffy,ache,nausea,vomiting,diarrhea",flu
"chill,cough,runny,stuffy,ache,nausea,vomiting,diarrhea",flu
"fever,chill,cough,runny,stuffy,ache,nausea,vomiting,diarrhea",flu
"sore,runny,stuffy,ache,nausea,vomiting,diarrhea",flu
"fever,sore,runny,stuffy,ache,nausea,vomiting,diarrhea",flu
"chill,sore,runny,stuffy,ache,nausea,vomiting,diarrhea",flu
"fever,chill,sore,runny,stuffy,ache,nausea,vomiting,diarrhea",flu
"cough,sore,runny,stuffy,ache,nausea,vomiting,diarrhea",flu
"fever,cough,sore,runny,stuffy,ache,nausea,vomiting,diarrhea",flu
"chill,cough,sore,runny,stuffy,ache,nausea,vomiting,diarrhea",flu
"fever,chill,cough,sore,runny,stuffy,ache,nausea,vomiting,diarrhea",flu
"throat,runny,stuffy,ache,nausea,vomiting,diarrhea",flu
"fever,throat,runny,stuffy,ache,nausea,vomiting,diarrhea",flu
"chill,throat,runny,stuffy,ache,nausea,vomiting,diarrhea",flu
"fever,chill,throat,runny,stuffy,ache,nausea,vomiting,diarrhea",flu
"cough,throat,runny,stuffy,ache,nausea,vomiting,diarrhea",flu
"fever,cough,throat,runny,stuffy,ache,nausea,vomiting,diarrhea",flu
"chill,cough,throat,runny,stuffy,ache,nausea,vomiting,diarrhea",flu
"fever,chill,cough,throat,runny,stuffy,ache,nausea,vomiting,diarrhea",flu
"sore,throat,runny,stuffy,ache,nausea,vomiting,diarrhea",flu
"fever,sore,throat,runny,stuffy,ache,nausea,vomiting,diarrhea",flu
"chill,sore,throat,runny,stuffy,ache,nausea,vomiting,diarrhea",flu
"fever,chill,sore,throat,runny,stuffy,ache,nausea,vomiting,diarrhea",flu
"cough,sore,throat,runny,stuffy,ache,nausea,vomiting,diarrhea",flu
"fever,cough,sore,throat,runny,stuffy,ache,nausea,vomiting,diarrhea",flu
